Exporter,Importer,cross,Year,Quantity_mt ,Value_usd ,Unnamed: 6,Import trade _metric Tons,Import trade _Values _USD ,country1,country2,longitude1,latitude1,longitude2,latitude2,trade_scaled,normal_trade
1,2,NGA_EGY,2009,0,0,,35,136,NGA,EGY,7.995127754089786,9.548318418209965,29.844461513124415,26.50661999974957,4.5147542167804385e-05,94774.47714991431
1,2,NGA_EGY,2020,0,0,,103,90,NGA,EGY,7.995127754089786,9.548318418209965,29.844461513124415,26.50661999974957,0.0001328627669509672,84642.08973100106
1,2,NGA_EGY,2021,0,0,,0,1,NGA,EGY,7.995127754089786,9.548318418209965,29.844461513124415,26.50661999974957,0.0,50665.39023555028
1,3,NGA_COD,2010,2280,551,,100,183,NGA,COD,7.995127754089786,9.548318418209965,23.582955831479083,-2.8502757110956667,0.00012899297762229825,53428.43611186323
1,3,NGA_COD,2011,0,0,,59,56,NGA,COD,7.995127754089786,9.548318418209965,23.582955831479083,-2.8502757110956667,7.610585679715596e-05,65555.71392036008
1,3,NGA_COD,2022,0,0,,0,2,NGA,COD,7.995127754089786,9.548318418209965,23.582955831479083,-2.8502757110956667,0.0,62487.3641699586
1,4,NGA_TZA,2003,0,0,,735,598,NGA,TZA,7.995127754089786,9.548318418209965,34.75298985475595,-6.257732428506092,0.0009480983855238921,84274.44570770646
1,4,NGA_TZA,2020,24,36,,0,0,NGA,TZA,7.995127754089786,9.548318418209965,34.75298985475595,-6.257732428506092,0.0,99260.59399118662
1,4,NGA_TZA,2021,28,119,,0,0,NGA,TZA,7.995127754089786,9.548318418209965,34.75298985475595,-6.257732428506092,0.0,87031.23446823623
1,5,NGA_ZAF,2003,0,0,,13162,7533,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115,0.016978055714646896,109496.93296373307
1,5,NGA_ZAF,2006,0,0,,25589,18315,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115,0.0330080130437699,59102.685882725564
1,5,NGA_ZAF,2007,0,0,,8901,15596,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115,0.011481664938160767,80804.3886681007
1,5,NGA_ZAF,2008,0,0,,11,981,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115,1.4189227538452807e-05,68709.9387417653
1,5,NGA_ZAF,2009,0,0,,485,756,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115,0.0006256159414681464,110200.37582960492
1,5,NGA_ZAF,2010,0,0,,113,178,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115,0.000145762064713197,61700.65563281246
1,5,NGA_ZAF,2011,0,0,,154,225,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115,0.0001986491855383393,50441.693577867336
1,5,NGA_ZAF,2012,0,0,,1088,658,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115,0.001403443596530605,72539.65222052844
1,5,NGA_ZAF,2013,608,6460,,850,29419,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115,0.0010964403097895351,39608.313916873434
1,5,NGA_ZAF,2014,0,0,,190,361,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115,0.00024508665748236666,45687.531771267604
1,5,NGA_ZAF,2015,0,0,,0,186,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115,0.0,74574.93175637403
1,5,NGA_ZAF,2016,0,0,,0,2206,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115,0.0,92745.82764911218
1,5,NGA_ZAF,2017,0,0,,0,191,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115,0.0,65754.51618121979
1,5,NGA_ZAF,2018,0,0,,41,110,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115,5.288712082514228e-05,91870.29086199807
1,5,NGA_ZAF,2019,0,0,,46,331,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115,5.933676970625719e-05,43023.64800146883
1,5,NGA_ZAF,2020,0,0,,16,12,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115,2.063887641956772e-05,61080.88065352441
1,5,NGA_ZAF,2021,0,0,,129,140,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115,0.00016640094113276474,67225.1488805322
1,5,NGA_ZAF,2022,0,0,,2160,2952,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115,0.002786248316641642,84960.19487852126
1,6,NGA_KEN,2017,0,0,,0,3,NGA,KEN,7.995127754089786,9.548318418209965,37.791555286661385,0.5959662521769523,0.0,63625.044884441726
1,6,NGA_KEN,2018,0,0,,0,1,NGA,KEN,7.995127754089786,9.548318418209965,37.791555286661385,0.5959662521769523,0.0,79174.60675707243
1,6,NGA_KEN,2019,0,0,,14,40,NGA,KEN,7.995127754089786,9.548318418209965,37.791555286661385,0.5959662521769523,1.8059016867121755e-05,105579.71883873761
1,6,NGA_KEN,2021,0,0,,1,1,NGA,KEN,7.995127754089786,9.548318418209965,37.791555286661385,0.5959662521769523,1.2899297762229824e-06,70107.27396237652
1,7,NGA_UGA,2010,0,0,,883,1409,NGA,UGA,7.995127754089786,9.548318418209965,32.35755031998686,1.2954855035097297,0.0011390079924048935,49409.178199544476
